,Unnamed: 0,Insult,Comment,Sentiment
0,0,1,you fuck your dad,-0.4
1,1,0,i really dont understand your pointxa0 it seems that you are mixing apple and orange,0.2
2,2,0,axc2xa0majority of canadian can and ha been wrong before now and will be againnnunless youre supportive of the idea that nothing is full proof or perfect so you take your chance and if we should inadvertently kill your son or daughter then thems the break and we can always regard you a collateral damage like in wartime and sorry butxc2xa0the cheque in the mail,0.17
3,3,0,listen if you dont wanna get married to a man or a woman dont do it what would it bother you if gay people got married stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppose to judge people,0.37
4,4,0,cxe1c bu1ea1n xuu1ed1ng u0111u01b0u1eddng biu1ec3u txecnh 2011 cxf3 xf4n hoxe0 khxf4ng ncxe1c ngu01b0 dxe2n ngu1ed3i cuxed u0111u1ea7u chiu1ee5 nhu1ee5c cxf3 xf4n hoxe0 khxf4ng ncxe1c nxf4ng dxe2n giu1eef u0111u1ea5t u1edf vu0103n giang cu1ea7n thu01a1 cxf3 xf4n hoxe0 khxf4ng nnru1ed1t cuu1ed9c u0111u01b0u1ee3c gxecxa0 thxec chxfang ta u0111xe3 biu1ebft nai cu0169ng yxeau chuu1ed9ng hoxe0 bxecnh nhu01b0ng u0111xf4i khi hoxe0 bxecnh chu1ec9 thu1eadt su1ef1 u0111u1ebfn sau chiu1ebfn tranh mxe0 thxf4inkhxf4ng cxf2n con u0111u01b0u1eddng nxe0o chu1ecdn khxe1c u0111xe2u u0111u1eebng mu01a1 thxeam nu01b0xe3,0.0
5,5,0,sdl ok but i would hope theyd sign him to a oneyear contract to start with give him the chance to be reliable and productive but give themselves the out if all his time off ha hurt his playing skill or if he fall back into old habit,0.19999999999999998
6,6,0,yeah and where are you now,0.0
7,7,1,shut the fuck up you and the rest of your faggot friend should be burned at the stake,-0.4
8,8,1,either you are fake or extremely stupidmaybe both,-0.3125
9,9,1,that you are an idiot who understands neither taxation nor woman health,-0.8
10,10,0,jdstorm dont wish him injury but it happened on it own and i doubt he injured he looked embarrassed to me,0.6
11,11,0,be carefuljimboog ha a fork with your name on it,0.0
12,12,0,tonnyb or they just dont pay attention,0.0
