,Insult,Comment
0,1,you fuck your dad
1,0,i realli dont understand your pointxa0 it seem that you are mix appl and orang
2,0,axc2xa0major of canadian can and ha been wrong befor now and will be againnnunless your support of the idea that noth is full proof or perfect so you take your chanc and if we should inadvert kill your son or daughter then them the break and we can alway regard you as collater damag like in wartim and sorri butxc2xa0th chequ in the mail
3,0,listen if you dont wanna get marri to a man or a women dont do it what would it bother you if gay peopl got marri stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppos to judg peopl
4,0,cxe1c bu1ea1n xuu1ed1ng u0111u01b0u1eddng biu1ec3u txecnh 2011 cxf3 xf4n hoxe0 khxf4ng ncxe1c ngu01b0 dxe2n ngu1ed3i cux u0111u1ea7u chiu1ee5 nhu1ee5c cxf3 xf4n hoxe0 khxf4ng ncxe1c nxf4ng dxe2n giu1eef u0111u1ea5t u1edf vu0103n giang cu1ea7n thu01a1 cxf3 xf4n hoxe0 khxf4ng nnru1ed1t cuu1ed9c u0111u01b0u1ee3c gxecxa0 thxec chxfang ta u0111xe3 biu1ebft nai cu0169ng yxeau chuu1ed9ng hoxe0 bxecnh nhu01b0ng u0111xf4i khi hoxe0 bxecnh chu1ec9 thu1eadt su1ef1 u0111u1ebfn sau chiu1ebfn tranh mxe0 thxf4inkhxf4ng cxf2n con u0111u01b0u1eddng nxe0o chu1ecdn khxe1c u0111xe2u u0111u1eebng mu01a1 thxeam nu01b0xe3
5,0,sdl ok but i would hope theyd sign him to a oneyear contract to start with give him the chanc to be reliabl and product but give themselv the out if all hi time off ha hurt hi play skill or if he fall back into old habit
6,0,yeah and where are you now
7,1,shut the fuck up you and the rest of your faggot friend should be burn at the stake
8,1,either you are fake or extrem stupidmayb both
9,1,that you are an idiot who understand neither taxat nor women health
10,0,jdstorm dont wish him injuri but it happen on it own and i doubt he injur he look embarrass to me
11,0,be carefuljimboog ha a fork with your name on it
12,0,tonnyb or they just dont pay attent
13,0,hmmm perhap some who are too pigfac to get laid and therefor have zero chanc of get pregnant from such activ hold someth against women who can idk stream of consciousne thought after look at her
14,0,barrettmarson huh her incom wa 21912 her spend wa 5470 my math put that at 249
15,1,for some reason u sound retard lol damn where u been negro
16,1,you with the racist screen namenny are a pieceofshit
17,0,oh cheat as well1966 cup wa a cheat fest you still dare to post that commentsham on you lol
18,1,your such a dickhead
19,1,your a retard go post your head up your
20,0,eephusbluexa0mak you want to say mike macwhog
21,0,httpwwwyoutubecomwatchvtlyllphkru4
22,0,and you know theyv burn hole in all the carpet
23,0,you are a land creatur you would drown
24,0,to all those doomandgloom the chickenlittl who claim the sky is fall and that societi is collapsingcanada ha had gay marriag nationwid for year where is the disast where is the collaps and the persecut your shout about where is it pleas show us some exampl becaus it start to look like your threat and fear and warn are noth but hot air
25,0,craig we have been say from the start that thi is a veri entertain showxa0 it awaken the horni littl goth in mexa0 i met my boyfriend dure the first season and one of the first thing we did wa watch ah at my housexa0 i know he like me and all but to thi day he is sure i am far creepier and kinkier than he could ever bexa0 thank american horror storyxa0 sweet clam love you
26,0,strang you are talk about that when there were chelsea fan in here belittl the commun shield
27,0,but how would you actual get the key out
28,0,oh cool some more internet point for your collect
